player_id,name,season,collected_at,strokes_gained_driving_sg_tee_to_green,strokes_gained_driving_sg_tee_to_green_rank,strokes_gained_driving_sg_tee_to_green_sg:ott,strokes_gained_driving_sg_off_the_tee,strokes_gained_driving_sg_off_the_tee_rank,strokes_gained_driving_sg_off_the_tee_total_sg:ott,strokes_gained_putting_sg_putting,strokes_gained_putting_sg_putting_rank,strokes_gained_putting_sg_putting_total_sg:putting
34098,Russell Henley,2023,2025-03-22 06:20:53.384,1.003,17.0,0.197,0.197,63.0,14.412,-0.121,120.0,-8.849
49298,Kramer Hickok,2023,2025-03-22 06:22:48.161,-0.168,130.0,0.024,0.024,95.0,1.879,-0.191,142.0,-14.894
54421,Garrick Higgo,2023,2025-03-22 06:25:06.233,0.12,94.0,0.509,0.509,18.0,45.83,0.101,77.0,9.094
33597,Harry Higgs,2023,2025-03-22 06:28:09.370,-1.443,192.0,-0.487,-0.487,182.0,-28.709,0.218,58.0,12.846
51287,Ryo Hisatsune,2023,2025-03-22 06:34:56.459,1.413,,0.571,0.571,,2.282,-1.578,,-6.314
54628,Lee Hodges,2023,2025-03-22 06:38:25.593,0.266,73.0,0.245,0.245,51.0,21.809,0.165,64.0,14.677
51696,Rico Hoey,2023,2025-03-22 06:41:02.246,,,,,,,,,
12716,Charley Hoffman,2023,2025-03-22 06:44:53.864,0.366,54.0,-0.037,-0.037,111.0,-2.152,-0.485,181.0,-28.124
35532,Tom Hoge,2023,2025-03-22 06:48:34.591,0.32,60.0,-0.253,-0.253,155.0,-21.468,0.162,66.0,13.749
52453,Nicolai Højgaard,2023,2025-03-22 06:52:06.281,0.315,61.0,-0.061,-0.061,116.0,-2.061,0.415,24.0,14.113
52686,Rasmus Højgaard,2023,2025-03-22 06:55:17.032,-1.292,,-1.047,-1.047,,-4.186,-0.863,,-3.453
27141,J.B. Holmes,2023,2025-03-22 06:57:30.749,-1.755,,-0.55,-0.55,,-12.106,-0.413,,-9.091
39977,Max Homa,2023,2025-03-22 07:01:09.980,1.026,15.0,0.317,0.317,41.0,24.399,0.612,6.0,47.109
29420,Billy Horschel,2023,2025-03-22 07:05:31.715,-0.298,150.0,-0.224,-0.224,152.0,-11.898,0.326,41.0,17.256
47056,Rikuya Hoshino,2023,2025-03-22 07:09:19.783,-0.626,,-0.603,-0.603,,-2.411,0.32,,1.281
35461,Beau Hossler,2023,2025-03-22 07:13:16.487,0.226,81.0,0.23,0.23,53.0,20.224,0.224,56.0,19.713
46717,Viktor Hovland,2023,2025-03-22 07:16:56.224,1.412,5.0,0.741,0.741,8.0,51.903,0.236,54.0,16.527
36801,Mark Hubbard,2023,2025-03-22 07:20:40.472,0.594,39.0,-0.182,-0.182,141.0,-16.184,0.02,93.0,1.784
35506,Mackenzie Hughes,2023,2025-03-22 07:24:46.680,-0.166,129.0,-0.32,-0.32,163.0,-22.733,0.367,34.0,26.088
34174,John Huh,2023,2025-03-22 07:28:33.273,-1.542,,-0.645,-0.645,,-9.681,-0.289,,-4.329
39971,Sungjae Im,2023,2025-03-22 07:31:37.201,0.842,26.0,0.467,0.467,24.0,39.669,0.207,62.0,17.606
36799,Stephan Jaeger,2023,2025-03-22 07:35:36.531,0.924,22.0,0.332,0.332,39.0,35.555,-0.09,110.0,-9.606
24024,Zach Johnson,2023,2025-03-22 07:39:48.373,-0.537,165.0,-0.199,-0.199,147.0,-11.13,0.109,75.0,6.092
47917,Takumi Kanaya,2023,2025-03-22 07:43:40.196,,,,,,,,,
39975,Michael Kim,2023,2025-03-22 07:51:47.492,0.256,78.0,-0.019,-0.019,106.0,-1.332,0.094,78.0,6.507
50188,S.H. Kim,2023,2025-03-22 07:55:56.273,0.188,89.0,0.412,0.412,29.0,39.946,0.278,49.0,26.992
37455,Si Woo Kim,2023,2025-03-22 07:59:55.016,0.984,19.0,0.462,0.462,25.0,39.719,-0.308,163.0,-26.492
55182,Tom Kim,2023,2025-03-22 08:02:30.399,0.834,27.0,0.128,0.128,75.0,9.746,0.115,73.0,8.732
30926,Chris Kirk,2023,2025-03-22 08:05:43.803,0.685,35.0,0.009,0.009,97.0,0.647,0.134,70.0,10.165
29478,Kevin Kisner,2023,2025-03-22 08:07:45.130,-1.73,,-0.977,-0.977,,-38.092,-0.143,,-5.567
48117,Kurt Kitayama,2023,2025-03-22 08:09:41.188,0.274,70.0,-0.117,-0.117,126.0,-6.446,-0.149,133.0,-8.209
32757,Patton Kizzire,2023,2025-03-22 08:12:30.162,-0.263,145.0,-0.266,-0.266,157.0,-22.076,-0.116,117.0,-9.638
47420,Jake Knapp,2023,2025-03-22 08:14:28.384,0.738,,0.317,0.317,,0.633,-1.046,,-2.091
54813,Philip Knowles,2023,2025-03-22 08:17:01.119,-1.502,,-0.301,-0.301,,-3.911,-0.802,,-10.424
33122,Russell Knox,2023,2025-03-22 08:18:46.998,-0.016,112.0,-0.511,-0.511,184.0,-42.901,-0.277,154.0,-23.273
36884,Ben Kohles,2023,2025-03-22 08:20:29.762,1.285,,0.103,0.103,,0.31,0.903,,2.709
23108,Matt Kuchar,2023,2025-03-22 08:24:08.068,0.422,50.0,0.027,0.027,94.0,2.12,0.145,68.0,11.463
27936,Martin Laird,2023,2025-03-22 08:25:59.136,-0.184,131.0,-0.194,-0.194,144.0,-13.202,-0.05,107.0,-3.387
28775,Nate Lashley,2023,2025-03-22 08:27:43.889,0.277,69.0,-0.105,-0.105,121.0,-8.822,0.074,81.0,6.245
45523,Thriston Lawrence,2023,2025-03-22 08:29:31.268,-0.653,,0.085,0.085,,1.02,-0.192,,-2.309
32791,K.H. Lee,2023,2025-03-22 08:31:20.102,0.355,55.0,0.035,0.035,90.0,2.873,-0.01,101.0,-0.813
37378,Min Woo Lee,2023,2025-03-22 08:33:07.834,0.247,,0.555,0.555,,18.854,0.772,,26.237
37278,Nicholas Lindheim,2023,2025-03-22 08:35:06.731,0.349,,0.112,0.112,,2.124,-0.075,,-1.433
34409,David Lingmerth,2023,2025-03-22 08:37:03.592,-0.631,170.0,-0.498,-0.498,183.0,-29.365,0.06,83.0,3.553
