player_id,tournament_id,last5_score,par5_birdie_pct,history_sg_short_game,first_year,last3_score,top_25_pct,recent_finish_std,international_wins,par4_avg,recent_avg_score,top_quartile_count,top10,history_best_sg_value,win_rate,wins,top_10_pct,history_sg_app,top_10,back_nine_par_pct,history_sg_atg,most_recent_position,front_nine_par_pct,last2_score,front_nine_birdie_pct,recent_top10,scoring_variability,top_25,score,eagles,birdies_per_round,approach_rank_best,recent_top5,top3
49771,R2025016,-4.0,75.0,,2017.0,-22.0,0.2222222222222222,13.948476619330155,0.0,3.9545454545454546,-11.4,1.0,0,,,,0.0,,0.0,44.44444444444444,,,61.111111111111114,-14.0,30.555555555555557,3.0,0.7562985392278533,2.0,28.0,0.0,6.0,34.0,2.0,0
49960,R2025016,2.0,68.75,,2019.0,-3.0,0.7,20.463381929681123,0.0,3.7954545454545454,-2.8,1.0,0,,,,0.3,,3.0,47.22222222222222,,,55.55555555555556,0.0,33.33333333333333,1.0,0.7410129259969239,7.0,29.0,0.0,7.0,12.0,0.0,0
50525,R2025016,-6.0,62.5,,2017.0,-1.0,1.0,16.637307474468336,1.0,3.659090909090909,-8.4,3.0,1,,,,0.6,,3.0,44.44444444444444,,,58.333333333333336,-26.0,33.33333333333333,1.0,0.7609400330901979,5.0,16.0,1.0,8.0,10.0,1.0,0
51349,R2025016,1.0,56.25,,2023.0,-17.0,0.2222222222222222,11.412712210513327,2.0,3.909090909090909,-11.8,0.0,0,,,,0.1111111111111111,,1.0,69.44444444444444,,,58.333333333333336,-8.0,33.33333333333333,3.0,0.839181358296689,2.0,35.0,1.0,5.0,51.0,2.0,0
51634,R2025016,-24.0,50.0,,2017.0,-2.0,0.1111111111111111,19.667231630303235,0.0,3.7954545454545454,-13.0,1.0,0,,,,0.0,,0.0,55.55555555555556,,,58.333333333333336,-10.0,30.555555555555557,3.0,0.8163767809738969,1.0,33.0,2.0,5.25,2.0,1.0,0
51766,R2025016,-12.0,87.5,,2017.0,-17.0,0.42857142857142855,4.02336923485777,0.0,3.909090909090909,-6.4,1.0,0,,,,0.0,,0.0,52.77777777777778,,,55.55555555555556,2.0,33.33333333333333,2.0,0.6816106764429395,3.0,33.0,1.0,6.5,54.0,0.0,0
51977,R2025016,-4.0,75.0,,2017.0,-19.0,0.5555555555555556,13.013838787997951,0.0,3.772727272727273,-13.0,1.0,0,,,,0.1111111111111111,,1.0,55.55555555555556,,,58.333333333333336,-22.0,33.33333333333333,3.0,0.7358471638277218,5.0,33.0,0.0,6.5,39.0,2.0,0
52215,R2025016,9.0,75.0,,2019.0,-12.0,0.5714285714285714,17.65467360219384,3.0,3.840909090909091,-5.4,2.0,0,,,,0.2857142857142857,,2.0,38.88888888888889,,,75.0,-11.0,19.444444444444446,2.0,0.701970176236504,4.0,17.0,0.0,6.5,23.0,0.0,0
52955,R2025016,-3.0,56.25,,2022.0,-12.0,0.5,13.212115651930995,1.0,3.75,-9.6,0.0,0,,,,0.3333333333333333,,2.0,55.55555555555556,,,55.55555555555556,-10.0,33.33333333333333,2.0,0.6965149103531725,3.0,33.0,2.0,6.25,22.0,1.0,0
56630,R2025016,-9.0,50.0,,2019.0,-5.0,0.5714285714285714,15.811388300841896,0.0,3.8181818181818183,-9.8,1.0,0,,,,0.42857142857142855,,3.0,63.888888888888886,,,69.44444444444444,-15.0,19.444444444444446,2.0,0.7505866250408015,4.0,41.0,1.0,4.75,46.0,2.0,0
57362,R2025016,-7.0,68.75,,2019.0,-7.0,0.2222222222222222,17.715529910222838,0.0,3.909090909090909,-8.2,0.0,1,,,,0.0,,0.0,47.22222222222222,,,52.77777777777778,-24.0,33.33333333333333,1.0,0.8306294161159102,2.0,49.0,1.0,6.75,58.0,1.0,0
57366,R2025016,-10.0,68.75,,2019.0,4.0,0.2222222222222222,20.04395170618808,0.0,3.8181818181818183,-5.6,1.0,1,,,,0.1111111111111111,,1.0,50.0,,,55.55555555555556,-5.0,36.11111111111111,1.0,0.7689952390108038,2.0,34.0,1.0,6.75,40.0,0.0,0
57975,R2025016,-1.0,50.0,,2020.0,-16.0,0.3333333333333333,10.133484099755622,0.0,3.727272727272727,-11.0,3.0,1,,,,0.2222222222222222,,2.0,52.77777777777778,,,52.77777777777778,-11.0,38.88888888888889,1.0,0.7689952390108038,3.0,23.0,1.0,6.75,40.0,0.0,0
58168,R2025016,-11.0,62.5,,2020.0,3.0,0.2222222222222222,19.893717601293126,0.0,3.8863636363636362,-6.4,1.0,0,,,,0.1111111111111111,,1.0,58.333333333333336,,,55.55555555555556,-18.0,30.555555555555557,1.0,0.7811101204979283,2.0,20.0,2.0,5.25,44.0,1.0,0
59095,R2025016,-10.0,43.75,,2022.0,-3.0,0.2,20.016659728003237,0.0,3.840909090909091,-3.8,0.0,0,,,,0.0,,0.0,69.44444444444444,,,50.0,-8.0,36.11111111111111,0.0,0.7970995936069254,2.0,25.0,0.0,5.25,19.0,0.0,0
59141,R2025016,4.0,43.75,,2022.0,-23.0,0.2222222222222222,31.0,0.0,3.9318181818181817,-4.2,3.0,0,,,,0.0,,0.0,69.44444444444444,,,66.66666666666666,2.0,22.22222222222222,1.0,0.8203209418113955,2.0,19.0,0.0,4.0,1.0,1.0,0
59866,R2025016,-13.0,43.75,,2022.0,-15.0,0.25,9.368030742904295,0.0,4.0,-8.0,2.0,0,,,,0.125,,1.0,66.66666666666666,,,75.0,-1.0,19.444444444444446,1.0,0.8296868576096289,2.0,19.0,0.0,3.75,9.0,1.0,0
22405,R2024016,6.0,56.25,,1998.0,-4.0,0.4,6.299801584177076,12.0,3.8636363636363638,-7.4,,0,,0.0,0.0,0.4,,2.0,58.333333333333336,,,55.55555555555556,-11.0,27.77777777777778,2.0,0.9192771195538434,2.0,,0.0,6.25,,0.0,0
25493,R2024016,10.0,56.25,0.861,2008.0,-16.0,0.5,13.481839637082173,0.0,4.0,-5.8,,0,0.489,0.0,0.0,0.25,-1.018,2.0,63.888888888888886,0.372,29.0,63.888888888888886,0.0,25.0,1.0,0.7535777990476679,4.0,,1.0,4.5,,0.0,0
25900,R2024016,-7.0,62.5,-1.5830000000000002,2001.0,-11.0,0.4444444444444444,20.445048300260872,0.0,3.727272727272727,-11.8,,0,0.553,0.0,0.0,0.3333333333333333,-1.253,3.0,61.111111111111114,0.394,35.0,66.66666666666666,-7.0,27.77777777777778,1.0,0.7108316890381612,4.0,,0.0,5.75,,0.0,0
27129,R2024016,-18.0,43.75,-0.42900000000000005,2003.0,-14.0,0.0,11.280514172678478,0.0,3.840909090909091,-15.6,,0,0.957,0.0,0.0,0.0,0.399,0.0,61.111111111111114,0.099,11.0,58.333333333333336,-15.0,33.33333333333333,0.0,0.7780990840911822,0.0,,2.0,5.5,,0.0,0
27644,R2024016,-6.0,68.75,0.009000000000000008,2004.0,-4.0,0.3333333333333333,14.496896219536097,0.0,3.772727272727273,-8.6,,0,0.447,0.0,0.0,0.0,-0.03,0.0,50.0,0.378,16.0,58.333333333333336,-11.0,30.555555555555557,2.0,0.7206706579174003,3.0,,3.0,6.25,,1.0,0
27770,R2024016,0.0,31.25,,2004.0,-25.0,0.125,26.637484032009397,1.0,3.840909090909091,-12.4,,1,,0.0,0.0,0.125,,1.0,58.333333333333336,,,75.0,-24.0,13.88888888888889,2.0,0.7970995936069254,1.0,,0.0,4.5,,2.0,1
28089,R2024016,-2.0,68.75,1.3050000000000002,2006.0,3.0,0.5,19.39690696992693,0.0,3.727272727272727,-5.2,,1,0.787,0.0,0.0,0.3333333333333333,-0.981,2.0,47.22222222222222,0.787,13.0,63.888888888888886,-8.0,30.555555555555557,1.0,0.6759911288321622,3.0,,1.0,6.75,,1.0,1
28252,R2024016,-3.0,62.5,0.471,2017.0,4.0,0.42857142857142855,22.00504992546534,0.0,4.045454545454546,0.8,,0,0.243,0.0,0.0,0.14285714285714285,-0.509,1.0,61.111111111111114,0.243,25.0,61.111111111111114,4.0,27.77777777777778,0.0,0.7609400330901979,3.0,,2.0,4.5,,0.0,0
29725,R2024016,2.0,56.25,-0.157,2007.0,-6.0,0.42857142857142855,22.6662745064115,0.0,3.840909090909091,-8.0,,0,0.41,0.0,0.0,0.14285714285714285,-0.184,1.0,50.0,-0.113,7.0,52.77777777777778,-15.0,22.22222222222222,2.0,0.8277985209193761,3.0,,3.0,5.5,,2.0,0
30911,R2024016,-9.0,56.25,,2014.0,-14.0,1.0,7.8230428862431785,8.0,3.9545454545454546,-8.2,,0,,0.0,0.0,0.2,,1.0,55.55555555555556,,,63.888888888888886,-3.0,19.444444444444446,4.0,0.8038201046026283,5.0,,0.0,5.25,,1.0,0
